query_id,flight_id,candidate_count,scored_candidate_count,best_candidate_id,best_score,best_score_rank,best_status,best_bucket,best_inlier_count,best_inlier_ratio,best_reproj_error,best_pose_penalty,best_coverage_bbox_area_px2,best_elevation_span_m,best_rvec,best_tvec,best_camera_center_x,best_camera_center_y,best_camera_center_z,score_gap_to_second
q_013,DJI_202510311347_009_新建面状航线1,20,20,s300_x254211.063_y3364791.491,0.508946,1,ok,applicable_success,959.000000,0.479500,4.298899,0.000000,12526952.582361,16.238512,"[-0.8125836317642241, 3.023609961020921, -0.006164927241620733]","[1906612.533127053, -2784068.7826686613, 24900.94931268366]",254255.390819,3364845.379662,403.225069,0.004920
q_014,DJI_202510311347_009_新建面状航线1,20,20,s300_x254422.293_y3364407.454,0.519119,1,ok,applicable_success,754.000000,0.377000,3.774863,0.000000,7725210.822255,13.214760,"[-0.8262463551078102, 3.0287946435049924, 0.043897678812047015]","[1927442.1951070798, -2767885.160337706, -86426.52024959047]",254502.621487,3364360.188256,398.787362,0.011533
q_015,DJI_202510311347_009_新建面状航线1,20,20,s500_x254825.317_y3364045.530,0.541486,1,ok,applicable_success,592.000000,0.296000,4.522841,0.000000,16994429.400031,11.731463,"[-3.041944085169032, -0.7767029554233608, 0.009630334342205822]","[-1836313.016715253, 2830074.323571244, 13552.557463016889]",254812.637503,3364018.459708,408.193917,0.126894
q_016,DJI_202510311347_009_新建面状航线1,20,20,s200_x254675.317_y3364345.530,0.522028,1,ok,applicable_success,1007.000000,0.503500,4.276450,0.000000,4038126.653055,6.859020,"[-3.0040254781974274, -0.7725380371242442, -0.05974270251016128]","[-1847256.9988261054, 2822014.7758329804, 83988.94964345566]",254666.048850,3364271.837395,407.513709,0.075234
q_017,DJI_202510311347_009_新建面状航线1,20,20,s200_x254324.835_y3365125.528,0.570327,1,ok,applicable_success,887.000000,0.443500,4.574533,0.000000,6333062.007625,8.770949,"[0.782931939495772, -3.0191536922732665, -0.02930637818192596]","[1856503.8005028917, -2816956.6273293854, -84067.19795381617]",254319.133234,3365150.800166,407.335801,0.111029
q_018,DJI_202510311347_009_新建面状航线1,20,20,s300_x254436.063_y3365016.491,0.459167,1,ok,applicable_success,932.000000,0.466000,4.327987,0.000000,7086395.814276,11.030684,"[-0.7783758072475624, 3.0191075681900394, 0.0009862815435068152]","[1849387.207115505, -2822588.4030588954, 24195.915686300035]",254431.776742,3364979.655794,405.386717,0.010202
q_019,DJI_202510311347_009_新建面状航线1,20,20,s300_x254436.063_y3364791.491,0.531315,1,ok,applicable_success,986.000000,0.493000,4.549861,0.000000,12052998.720109,9.994738,"[-0.7848888377902048, 3.0278007623179275, 0.016192035227726883]","[1857209.8724070385, -2817349.0705109145, -17743.02436765573]",254491.536427,3364852.597628,405.349728,0.004352
q_020,DJI_202510311347_009_新建面状航线1,20,20,s500_x254825.317_y3364045.530,0.577682,1,ok,applicable_success,737.000000,0.368500,4.773869,0.000000,12724183.024404,12.915006,"[-3.04680504486504, -0.7529573845534189, 0.008142411192065317]","[-1792642.9649850584, 2858029.970361512, 15865.497249035263]",255012.171645,3364093.407315,405.670271,0.317258
q_021,DJI_202510311413_010_新建面状航线1,20,20,s500_x254825.317_y3364045.530,0.555029,1,ok,applicable_success,992.000000,0.496000,3.915396,0.000000,14541377.564264,8.019275,"[-3.0519878302719046, -0.7201240414216636, -0.00964278931862411]","[-1731951.305481386, 2895264.072607778, 12724.4612755719]",254991.081977,3364127.029436,405.628248,0.203271
q_022,DJI_202510311413_010_新建面状航线1,20,20,s500_x254825.317_y3364045.530,0.647322,1,ok,applicable_success,1047.000000,0.523500,4.215552,0.000000,14503822.152558,11.324435,"[-3.043931780726352, -0.73994083934473, 0.0032096675293700676]","[-1770771.1730292675, 2871623.5240197983, 31467.975918579014]",254956.000453,3364199.714315,405.564092,0.266691
q_023,DJI_202510311413_010_新建面状航线1,20,20,s700_x254925.317_y3364145.530,0.596809,1,ok,applicable_success,938.000000,0.469000,4.593501,0.000000,17390584.209966,12.254997,"[-3.038833455448304, -0.7531874981693994, -0.00977747591478838]","[-1796634.6468529878, 2855685.0251458073, 28393.328826217235]",254887.063824,3364323.352164,406.216913,0.107922
q_024,DJI_202510311413_010_新建面状航线1,20,20,s300_x254739.058_y3364554.565,0.612632,1,ok,applicable_success,1067.000000,0.533500,4.306705,0.000000,11258255.149331,14.718249,"[3.04008622333175, 0.7892511210987394, -0.022584415845232172]","[-1859163.8611019605, 2815776.6028493, 14050.937723712743]",254760.357349,3364577.620382,406.423009,0.036040
q_025,DJI_202510311413_010_新建面状航线1,20,20,s300_x254449.835_y3365175.528,0.590923,1,ok,applicable_success,842.000000,0.421000,4.684163,0.000000,11002814.335433,16.305103,"[0.8064066416417629, -3.0293128165907794, -0.030209114374113333]","[1893547.5721762218, -2792724.6885080463, -68377.70978042793]",254528.156456,3365222.779440,409.149417,0.116494
q_026,DJI_202510311413_010_新建面状航线1,20,20,s300_x254449.835_y3365175.528,0.485511,1,ok,applicable_success,579.000000,0.289500,4.761360,0.000000,8047205.805448,13.660120,"[-0.8113971607795072, 3.0307827805249854, -0.002204302828529296]","[1901818.228947988, -2787788.8110388303, 9431.616119702012]",254593.659656,3365107.708311,407.703824,0.050854
q_027,DJI_202510311413_010_新建面状航线1,20,20,s300_x254436.063_y3364791.491,0.537011,1,ok,applicable_success,608.000000,0.304000,4.651097,0.000000,5358309.115758,8.888930,"[-0.8122263953589142, 3.0092889041375197, -0.017347556534543302]","[1912349.5514349272, -2779662.7847930845, 63399.089464163866]",254696.340319,3364930.171902,401.293029,0.074417
q_028,DJI_202510311413_010_新建面状航线1,20,20,s500_x254839.058_y3364654.565,0.507908,1,ok,applicable_success,663.000000,0.331500,4.807400,0.000000,18186755.410776,14.494763,"[-0.8128782864320748, 3.0257525963756784, 0.022129827462427826]","[1906751.8324106415, -2783582.019121542, -35077.68452028388]",254880.012709,3364565.033652,406.175735,0.003130
q_029,DJI_202510311413_010_新建面状航线1,20,20,s300_x255253.340_y3364158.631,0.571928,1,ok,applicable_success,806.000000,0.403000,4.372839,0.000000,7574971.939734,13.004228,"[-3.036380856083614, -0.7782245978241127, -0.07191458936251612]","[-1841287.404488302, 2826993.7961335136, -29287.24891271451]",255162.663792,3364220.982743,408.083494,0.047843
q_030,DJI_202510311413_010_新建面状航线1,20,20,s500_x254825.317_y3364045.530,0.445572,1,ok,applicable_success,654.000000,0.327000,4.781354,0.000000,5316714.403908,11.113837,"[-3.020165624297388, -0.7725378125965325, 0.056168780070208674]","[-1836898.4165796672, 2827821.983249912, 115001.80827380517]",255126.973155,3364358.549097,397.969433,0.078719
