path,status,epsg,width,height,bands,res_x,res_y,error
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-17.tif,ok,32650,975,1121,3,0.5559772528217152,0.5559772528217152,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-18.tif,ok,32650,975,1120,3,0.5559752197835947,0.5559752197835947,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-19.tif,ok,32650,975,1120,3,0.5559731905484764,0.5559731905484764,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-20.tif,ok,32650,975,1120,3,0.5559711651153993,0.5559711651153993,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-21.tif,ok,32650,975,1120,3,0.5559691434835905,0.5559691434835905,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-22.tif,ok,32650,975,1120,3,0.5559671256537264,0.5559671256537264,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-23.tif,ok,32650,975,1120,3,0.555965111627303,0.555965111627303,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-24.tif,ok,32650,975,1120,3,0.5559631014012615,0.5559631014012615,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-25.tif,ok,32650,975,1120,3,0.5559610949775852,0.5559610949775852,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-26.tif,ok,32650,975,1120,3,0.5559590923557298,0.5559590923557298,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-27.tif,ok,32650,975,1120,3,0.5559570935357745,0.5559570935357745,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-28.tif,ok,32650,974,1120,3,0.5559550985173233,0.5559550985173233,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-29.tif,ok,32650,974,1120,3,0.5559531073002565,0.5559531073002565,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-30.tif,ok,32650,974,1120,3,0.5559511198857716,0.5559511198857716,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-31.tif,ok,32650,974,1120,3,0.5559491362722323,0.5559491362722323,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-32.tif,ok,32650,974,1120,3,0.5559471564596777,0.5559471564596777,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-33.tif,ok,32650,974,1120,3,0.5559451804497079,0.5559451804497079,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-34.tif,ok,32650,974,1120,3,0.5559432082399853,0.5559432082399853,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-35.tif,ok,32650,974,1120,3,0.5559412398316972,0.5559412398316972,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-36.tif,ok,32650,974,1120,3,0.555939275226393,0.555939275226393,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-37.tif,ok,32650,974,1120,3,0.5559373144205179,0.5559373144205179,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-38.tif,ok,32650,974,1120,3,0.5559353574168143,0.5559353574168143,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-39.tif,ok,32650,974,1120,3,0.5559334042132699,0.5559334042132699,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-40.tif,ok,32650,974,1120,3,0.5559314548126081,0.5559314548126081,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-41.tif,ok,32650,974,1119,3,0.5559295092112934,0.5559295092112934,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-42.tif,ok,32650,974,1119,3,0.5559275674111636,0.5559275674111636,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-43.tif,ok,32650,974,1119,3,0.5559256294134194,0.5559256294134194,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-44.tif,ok,32650,974,1119,3,0.5559236952158514,0.5559236952158514,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-45.tif,ok,32650,974,1119,3,0.5559217648186916,0.5559217648186916,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-46.tif,ok,32650,974,1119,3,0.5559198382226115,0.5559198382226115,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-47.tif,ok,32650,973,1119,3,0.5559179154278506,0.5559179154278506,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-48.tif,ok,32650,973,1119,3,0.5559159964339583,0.5559159964339583,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-49.tif,ok,32650,973,1119,3,0.5559140812396886,0.5559140812396886,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-50.tif,ok,32650,973,1119,3,0.5559121698464924,0.5559121698464924,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-51.tif,ok,32650,973,1119,3,0.5559102622544482,0.5559102622544482,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_05-13.tif,ok,32650,975,1121,3,0.5559987006916389,0.5559987006916389,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_05-14.tif,ok,32650,975,1121,3,0.5559966521609138,0.5559966521609138,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_05-15.tif,ok,32650,975,1121,3,0.5559946074321716,0.5559946074321716,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_05-16.tif,ok,32650,975,1121,3,0.555992566507902,0.555992566507902,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_05-17.tif,ok,32650,975,1121,3,0.5559905293851729,0.5559905293851729,
