query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,keypoints_query,keypoints_candidate,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_035,s200_x253633.067_y3364528.442,2,0.6453080177307129,200.0,256,256,28,4,0.14285714285714285,0.0,0,-1.0,0.8073770935933899,0.3,0.5029508374373559,0,0
q_035,s300_x256033.727_y3365139.824,3,0.6415280699729919,300.0,256,256,20,4,0.2,0.0,0,-1.0,0.7761390694746424,0.31,0.49645562778985697,0,0
q_035,s300_x254752.800_y3365613.601,4,0.6387408375740051,300.0,256,256,14,5,0.35714285714285715,0.9330377578735352,0,-1.0,0.7531049858087346,0.32243587541026925,0.4947035195696554,0,0
q_035,s300_x254449.835_y3365625.528,5,0.634864330291748,300.0,256,256,9,4,0.4444444444444444,0.0,0,-1.0,0.7210689800908516,0.3527777777777778,0.5000942587030073,0,0
q_035,s200_x253783.067_y3364528.442,6,0.633368968963623,200.0,256,256,21,5,0.23809523809523808,1.064690351486206,0,-1.0,0.7087111020914014,0.2924219267362468,0.4589375968783087,0,0
q_035,s200_x254675.317_y3364045.530,7,0.625656008720398,200.0,256,256,20,4,0.2,0.0,0,-1.0,0.6449701052449065,0.31,0.4439880420979626,0,0
q_035,s300_x253683.067_y3364578.442,8,0.619011640548706,300.0,256,256,16,5,0.3125,0.5669987201690674,0,-1.0,0.5900601047621769,0.34014861203969265,0.44011320912868634,0,0
q_035,s300_x255267.051_y3364542.665,9,0.6117666363716125,300.0,256,256,8,4,0.5,0.0,0,-1.0,0.5301863631840845,0.3625,0.4295745452736338,0,1
q_035,s200_x255908.727_y3365089.824,10,0.6084467172622681,200.0,256,256,15,4,0.26666666666666666,0.0,0,-1.0,0.502750081029613,0.32166666666666666,0.3941000324118452,0,0
q_035,s300_x254950.317_y3364170.530,11,0.6010082960128784,300.0,256,256,8,4,0.5,0.0,0,-1.0,0.4412779133470796,0.3625,0.39401116533883185,0,0
q_035,s500_x254852.800_y3365638.601,12,0.5928678512573242,500.0,256,256,16,4,0.25,0.0,0,-1.0,0.37400412389009136,0.31875000000000003,0.34085164955603653,0,0
q_035,s300_x254964.058_y3364554.565,13,0.5909002423286438,300.0,256,256,12,4,0.3333333333333333,0.0,0,-1.0,0.357743524773388,0.33333333333333337,0.3430974099093552,0,1
q_035,s200_x255394.480_y3365710.735,14,0.5906291604042053,200.0,256,256,10,4,0.4,0.0,0,-1.0,0.3555032653210004,0.34500000000000003,0.34920130612840017,0,0
q_035,s500_x255367.051_y3364642.665,15,0.5875824689865112,500.0,256,256,22,4,0.18181818181818182,0.0,0,-1.0,0.3303249755433417,0.3068181818181818,0.3162208993082458,0,1
q_035,s300_x254725.317_y3363945.530,16,0.5842390656471252,300.0,256,256,23,5,0.21739130434782608,0.885765552520752,0,-1.0,0.30269461638266076,0.3012758168986449,0.3018433366922513,0,0
q_035,s300_x254725.317_y3364170.530,17,0.5835403800010681,300.0,256,256,11,4,0.36363636363636365,0.0,0,-1.0,0.29692057915731174,0.3386363636363637,0.3219500498447429,0,0
q_035,s200_x254989.058_y3364654.565,18,0.5826783776283264,200.0,256,256,12,4,0.3333333333333333,0.0,0,-1.0,0.289796869350709,0.33333333333333337,0.3159187477402836,0,1
