query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y,is_truth_hit
q_010,6,s200_x254675.317_y3363895.530,0.8600504398345947,200,254675.31714087684,3363895.5298480103,0
q_010,7,s200_x254474.835_y3365425.528,0.8589540719985962,200,254474.83531152448,3365425.5278006354,0
q_010,8,s200_x254675.317_y3364045.530,0.8557842373847961,200,254675.31714087684,3364045.5298480103,0
q_010,9,s120_x255329.632_y3363324.598,0.8515540361404419,120,255329.63173593904,3363324.597604262,0
q_010,10,s200_x254433.525_y3363298.418,0.8504031896591187,200,254433.5249487518,3363298.417860814,0
q_011,1,s120_x254995.317_y3364305.530,0.874172031879425,120,254995.31714087684,3364305.5298480103,0
q_011,2,s200_x254975.317_y3364345.530,0.8733786344528198,200,254975.31714087684,3364345.5298480103,0
q_011,3,s200_x254825.317_y3364045.530,0.8695768117904663,200,254825.31714087684,3364045.5298480103,0
q_011,4,s200_x254975.317_y3364195.530,0.8635036945343018,200,254975.31714087684,3364195.5298480103,1
q_011,5,s200_x253810.673_y3365746.519,0.8565912842750549,200,253810.6733898759,3365746.519046808,0
q_011,6,s200_x254675.317_y3364045.530,0.8557530045509338,200,254675.31714087684,3364045.5298480103,0
q_011,7,s200_x254474.835_y3365425.528,0.8552166819572449,200,254474.83531152448,3365425.5278006354,0
q_011,8,s200_x254675.317_y3363895.530,0.8531176447868347,200,254675.31714087684,3363895.5298480103,0
q_011,9,s120_x255329.632_y3363324.598,0.848974347114563,120,255329.63173593904,3363324.597604262,0
q_011,10,s200_x255867.683_y3363562.726,0.8476274609565735,200,255867.68346681632,3363562.725988563,0
q_012,1,s200_x254447.293_y3364057.454,0.7770859003067017,200,254447.29280875245,3364057.454095203,0
q_012,2,s200_x254297.293_y3364057.454,0.77424156665802,200,254297.29280875245,3364057.454095203,0
q_012,3,s120_x254404.835_y3365175.528,0.7741771936416626,120,254404.83531152448,3365175.5278006354,0
q_012,4,s200_x254675.317_y3364345.530,0.7542375326156616,200,254675.31714087684,3364345.5298480103,0
q_012,5,s200_x254839.058_y3364504.565,0.7513073682785034,200,254839.0576404855,3364504.5652137767,0
q_012,6,s200_x254839.058_y3364804.565,0.7394347190856934,200,254839.0576404855,3364804.5652137767,0
q_012,7,s200_x254689.058_y3364804.565,0.7379863262176514,200,254689.0576404855,3364804.5652137767,0
q_012,8,s200_x254461.063_y3364816.491,0.7350704073905945,200,254461.06292971745,3364816.490741796,0
q_012,9,s120_x254739.058_y3364464.565,0.7337337732315063,120,254739.0576404855,3364464.5652137767,0
