query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,geom_quality,fused_score,promote_flag,is_strict_truth_hit
q_012,14,14,s200_x254839.058_y3364504.565,0.7513073682785034,200.0,254839.0576404855,3364504.5652137767,22,4,0.18181818181818182,0.0,0,-1.0,0.35002389934520933,0.3068181818181818,0.3241004688289928,0,0
q_012,15,15,s300_x254436.063_y3364791.491,0.7416373491287231,300.0,254436.06292971745,3364791.490741796,16,4,0.25,0.0,0,-1.0,0.1415650730343431,0.31875000000000003,0.24787602921373725,0,0
q_012,16,17,s200_x254689.058_y3364804.565,0.7379863262176514,200.0,254689.0576404855,3364804.5652137767,8,4,0.5,0.0,0,-1.0,0.06285913263365644,0.3625,0.24264365305346258,0,0
q_012,17,18,s300_x254647.293_y3364182.454,0.737246572971344,300.0,254647.29280875245,3364182.454095203,9,4,0.4444444444444444,0.0,0,-1.0,0.04691210180607095,0.3527777777777778,0.23043150738909504,0,0
q_012,18,16,s200_x254839.058_y3364804.565,0.7394347190856934,200.0,254839.0576404855,3364804.5652137767,17,4,0.23529411764705882,0.0,0,-1.0,0.09408247072972667,0.3161764705882353,0.22733887064483183,0,0
q_012,19,19,s500_x254866.545_y3366247.637,0.7365561127662659,500.0,254866.5454075462,3366247.637183411,11,4,0.36363636363636365,0.0,0,-1.0,0.032027692402578044,0.3386363636363637,0.21599289514284942,0,0
q_012,20,20,s200_x254461.063_y3364816.491,0.7350704073905945,200.0,254461.06292971745,3364816.490741796,15,5,0.3333333333333333,0.848697304725647,0,-1.0,0.0,0.3257364662893137,0.1954418797735882,0,0
q_013,1,1,s500_x253783.067_y3364678.442,0.7827630043029785,500.0,253783.06710738334,3364678.4419510043,12,4,0.3333333333333333,0.0,0,-1.0,1.0,0.33333333333333337,0.6000000000000001,0,0
q_013,2,2,s200_x254324.835_y3365125.528,0.7804513573646545,200.0,254324.83531152448,3365125.5278006354,19,4,0.21052631578947367,0.0,0,-1.0,0.9116258402643272,0.3118421052631579,0.5517555992636257,0,0
q_013,3,3,s300_x254436.063_y3364791.491,0.7800093293190002,300.0,254436.06292971745,3364791.490741796,25,4,0.16,0.0,0,-1.0,0.8947271277201777,0.303,0.5396908510880711,0,0
