query_id,flight_id,flight_short,image_name,query_image_path,pitch_group,tags,gimbal_pitch_degree,gimbal_yaw_degree,flight_pitch_degree,coarse_first_truth_rank,coarse_top1_hit,coarse_top20_hit,romav2_first_truth_rank,romav2_top1_hit,romav2_top20_hit,coarse_top1_error_m,romav2_top1_error_m,delta_top1_error_m,rank_gain,promoted_to_top1,promoted_within_top20,main_bucket,c_variant,c_near_miss,d_variant,a_shrink,b_core,b_strong_rank,b_strong_error,footprint_area_m2,truth_count_total,truth_count_200m,truth_count_300m,truth_count_500m,truth_count_700m,query_x,query_y,coarse_truth_count,romav2_truth_count,romav2_top1_raw_rank,romav2_top1_global_score,romav2_top1_match_score,romav2_top1_inlier_count,romav2_top1_inlier_ratio,romav2_top1_reproj_error_mean,romav2_top1_geom_valid,romav2_top1_geom_quality,romav2_top1_fused_score,selection_reason
q_022,DJI_202510311435_011_新建面状航线1,011,DJI_20251031143923_0011_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031143923_0011_V.JPG,tilted,tilted,-44.90,-118.70,-16.40,3,0,1,1,1,1,1339.99264,479.429745,-860.562895,2,1,1,B,,0,,0,0,0,1,1156402.87,265,114,62,39,50,255270.736,3365498.511,265,265,1,0.9258624315261841,0.9620382785797119,76,0.0152,2.08200740814209,1,0.278067279355582,0.7168403676133492,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_023,DJI_202510311435_011_新建面状航线1,011,DJI_20251031144132_0042_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144132_0042_V.JPG,downview,downview,-45.10,61.40,-16.60,5,0,1,2,0,1,2222.609237,2222.609237,0.0,3,0,1,C,C_retained,1,,0,0,0,0,1130392.698,243,109,59,32,43,253560.557,3364605.06,243,243,1,0.941696047782898,0.37609541416168213,100,0.02,2.3466439247131348,1,0.22093800214855402,0.6825628012891325,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_024,DJI_202510311435_011_新建面状航线1,011,DJI_20251031144539_0092_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144539_0092_V.JPG,downview,downview,-45.10,61.40,-18.60,1,1,1,1,1,1,514.161785,514.161785,0.0,0,0,0,A,,0,,0,0,0,0,1130404.852,231,106,53,32,40,254522.367,3364869.677,231,231,1,0.9409512877464294,0.9990300536155701,404,0.0808,2.4785146713256836,1,0.5196914615003319,0.8618148769001991,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_025,DJI_202510311435_011_新建面状航线1,011,DJI_20251031144721_0113_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144721_0113_V.JPG,tilted,tilted,-44.90,61.00,-14.90,1,1,1,1,1,1,1141.76905,1141.76905,0.0,0,0,0,A,,0,,0,0,0,0,1154992.995,246,106,59,37,44,253698.578,3364320.835,246,246,1,0.9135681390762329,0.9972639679908752,350,0.07,2.473390817642212,1,0.3797095908786062,0.7778257545271637,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_026,DJI_202510311435_011_新建面状航线1,011,DJI_20251031144854_0137_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144854_0137_V.JPG,downview,downview,-45.00,-119.00,-15.00,1,1,1,1,1,1,688.288372,688.288372,0.0,0,0,0,A,,0,,0,0,0,0,1142594.964,261,115,62,36,48,254931.35,3364964.794,261,261,1,0.9438706040382385,0.9998008012771606,539,0.1078,2.4056012630462646,1,0.41433428375878334,0.79860057025527,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_027,DJI_202510311435_011_新建面状航线1,011,DJI_20251031145237_0180_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145237_0180_V.JPG,tilted,tilted,-45.00,60.90,-14.90,1,1,1,1,1,1,137.788396,137.788396,0.0,0,0,0,A,,0,,0,0,0,0,1142558.11,242,105,57,38,42,253863.984,3364169.476,242,242,1,0.9172696471214294,0.8071451783180237,151,0.0302,2.1537275314331055,1,0.26243529284792794,0.7074611757087568,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_028,DJI_202510311435_011_新建面状航线1,011,DJI_20251031145538_0218_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145538_0218_V.JPG,tilted,tilted,-44.90,-118.40,-17.50,1,1,1,1,1,1,669.462207,669.462207,0.0,0,0,0,A,,0,,0,0,0,0,1154868.818,237,109,57,32,39,254979.694,3364633.142,237,237,1,0.9354876279830933,0.997460126876831,308,0.0616,2.6036243438720703,1,0.37256152387208064,0.7735369143232484,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_029,DJI_202510311435_011_新建面状航线1,011,DJI_20251031145828_0255_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145828_0255_V.JPG,downview,downview,-45.10,-119.10,-16.10,2,0,1,1,1,1,1629.243629,345.009954,-1284.233675,1,1,1,B,,0,,0,0,0,1,1130368.39,213,102,54,29,28,254528.567,3364278.835,213,213,1,0.9256163239479065,0.6167287230491638,46,0.0092,1.5539969205856323,0,0.07864101349576627,0.4471846080974598,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_030,DJI_202510311435_011_新建面状航线1,011,DJI_20251031145833_0257_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,tilted,tilted,-45.00,-119.20,-14.70,1,1,1,1,1,1,453.400243,453.400243,0.0,0,0,0,A,,0,,0,0,0,0,1142539.683,233,110,57,32,34,254596.839,3364314.491,233,233,1,0.9314526915550232,0.9685212969779968,120,0.024,2.4265565872192383,1,0.34437961361082875,0.7566277681664973,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_031,DJI_202510311500_012_新建面状航线1,012,DJI_20251031150301_0002_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,downview,downview,-45.10,-119.10,-18.10,1,1,1,1,1,1,460.749325,460.749325,0.0,0,0,0,A,,0,,0,0,0,0,1131894.224,242,114,59,35,34,254625.012,3364329.258,242,242,1,0.9288555383682251,0.9659844040870667,150,0.03,2.2703421115875244,1,0.36950983892224487,0.771705903353347,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
