query_id,flight_id,candidate_count,scored_candidate_count,best_candidate_id,best_score,best_score_rank,best_status,best_bucket,best_inlier_count,best_inlier_ratio,best_reproj_error,best_pose_penalty,best_coverage_bbox_area_px2,best_elevation_span_m,best_rvec,best_tvec,best_camera_center_x,best_camera_center_y,best_camera_center_z,score_gap_to_second
q_011,DJI_202510311347_009_新建面状航线1,20,20,cw_s700_x254258.721_y3364902.517,0.724412,1,ok,applicable_success,4056.000000,0.812012,2.994292,0.000000,20185890.588556,84.937668,"[-3.0202512068327114, -0.7888182913407549, -0.003930232257736013]","[-1866994.130991616, 2810123.4627328278, 61542.78756251679]",254178.565352,3364764.713757,391.954594,0.029554
q_012,DJI_202510311347_009_新建面状航线1,20,20,cw_s700_x254258.721_y3364902.517,0.717157,1,ok,applicable_success,4041.000000,0.808685,2.471752,0.000000,20531309.527193,45.163046,"[-0.805339103129177, 3.0249834940103106, 0.01804543868066786]","[1893754.7630364858, -2793046.9944711076, -23907.684515091787]",254159.699667,3365024.945942,391.761502,0.026623
q_013,DJI_202510311347_009_新建面状航线1,20,20,cw_s700_x254258.721_y3364902.517,0.722810,1,ok,applicable_success,4092.000000,0.819383,2.826329,0.000000,20813312.737520,49.276292,"[-0.8138230335166913, 3.0247026006398285, 0.012438559054580724]","[1908426.8465853133, -2782895.7818227075, -14480.692754118154]",254255.564269,3364842.582649,392.102642,0.002421
q_014,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254383.721_y3364502.517,0.741255,1,ok,applicable_success,3888.000000,0.777600,2.503516,0.000000,18491686.765459,34.182356,"[-0.8241372367908535, 3.0213298377567273, 0.014434820573396404]","[1927627.9358020949, -2769062.6493575387, -17777.698333576092]",254503.699699,3364372.330013,391.650909,0.023543
q_015,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254758.721_y3364127.517,0.794758,1,ok,applicable_success,4615.000000,0.923185,2.221802,0.000000,20464602.046690,65.685256,"[-3.0328366510525027, -0.7745803365550177, -0.0013907890588985311]","[-1836676.8784422567, 2829647.9302534857, 35886.11444364955]",254809.290962,3364022.777865,391.721090,0.058570
q_016,DJI_202510311347_009_新建面状航线1,20,20,cw_s700_x254783.721_y3364377.517,0.750370,1,ok,applicable_success,4144.000000,0.829132,2.296018,0.000000,20837175.598800,62.725966,"[-3.0215685407500428, -0.7877053777385353, -0.017364746848808177]","[-1864877.38218629, 2811230.105459165, 48804.4340619229]",254677.992919,3364268.597424,391.818115,0.069673
q_017,DJI_202510311347_009_新建面状航线1,20,20,cw_s300_x254433.721_y3365227.517,0.704687,1,ok,applicable_success,4532.000000,0.907126,2.138378,0.000000,13020895.158545,45.946889,"[-0.7846394460843227, 3.0413992694208325, 0.021442217474831052]","[1850499.6908883587, -2821843.1456678193, -42643.96205987148]",254326.381883,3365157.394653,391.052001,0.006691
q_018,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254383.721_y3364877.517,0.736725,1,ok,applicable_success,4273.000000,0.854771,2.831361,0.000000,19851120.593262,39.022839,"[-0.781463209454122, 3.0390424629782573, 0.011674764596715202]","[1846101.0677747019, -2824772.458772057, -19414.0213288928]",254424.996698,3364977.454318,391.771164,0.002740
q_019,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254383.721_y3364877.517,0.725948,1,ok,applicable_success,4192.000000,0.839239,2.713407,0.000000,19458257.808612,43.438486,"[-0.7886091625194167, 3.0278364336303394, 0.013564409875739947]","[1863648.4115644584, -2813120.6043759948, -13370.665704103645]",254490.829712,3364854.525186,391.557963,0.021212
q_020,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254758.721_y3364127.517,0.769922,1,ok,applicable_success,4530.000000,0.906907,2.539316,0.000000,13660966.935433,63.541043,"[-3.046848652975991, -0.7508739196594669, 0.004788630386119165]","[-1788954.7644462043, 2860345.0892109736, 15079.944096235404]",255010.815375,3364094.218991,391.299101,0.029498
q_021,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x254883.721_y3364102.517,0.768636,1,ok,applicable_success,4897.000000,0.979792,2.478425,0.000000,12642778.221821,65.183144,"[-3.044903829364618, -0.723191060435126, -0.009341826891269509]","[-1740497.6048092097, 2889981.445324045, 32745.566843582925]",254990.024160,3364130.923850,391.905125,0.006255
q_022,DJI_202510311413_010_新建面状航线1,20,20,cw_s500_x254758.721_y3364127.517,0.789312,1,ok,applicable_success,4600.000000,0.920921,1.992036,0.000000,15222519.099284,64.566855,"[-3.0363362025233727, -0.741579558157476, 0.001069540969820508]","[-1776937.7559100138, 2867509.1101240804, 52453.09028320097]",254954.044567,3364203.604684,391.272308,0.016028
