query_id,flight_id,image_name,image_path,width_px,height_px,fx_px,fy_px,cx_px,cy_px,k1,k2,p1,p2,intrinsics_source,intrinsics_model,original_query_path,selected_original_path,has_metadata_removed,sanitization_method
q_021,DJI_202510311435_011_新建面状航线1,DJI_20251031143818_0001_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311435_011_新建面状航线1/DJI_20251031143818_0001_V.JPG,5280,3956,3722.064381,3722.064381,2650.480028,1961.221122,-0.105799622876,-0.006541720122,0.000240276221,-0.000220267325,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031143818_0001_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143818_0001_V.JPG,1,pillow_reencode_without_metadata
q_022,DJI_202510311435_011_新建面状航线1,DJI_20251031143923_0011_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311435_011_新建面状航线1/DJI_20251031143923_0011_V.JPG,5280,3956,3722.064381,3722.064381,2650.480028,1961.221122,-0.105799622876,-0.006541720122,0.000240276221,-0.000220267325,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031143923_0011_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143923_0011_V.JPG,1,pillow_reencode_without_metadata
q_023,DJI_202510311435_011_新建面状航线1,DJI_20251031144132_0042_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311435_011_新建面状航线1/DJI_20251031144132_0042_V.JPG,5280,3956,3722.064381,3722.064381,2650.480028,1961.221122,-0.105799622876,-0.006541720122,0.000240276221,-0.000220267325,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144132_0042_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144132_0042_V.JPG,1,pillow_reencode_without_metadata
q_024,DJI_202510311435_011_新建面状航线1,DJI_20251031144539_0092_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311435_011_新建面状航线1/DJI_20251031144539_0092_V.JPG,5280,3956,3722.064381,3722.064381,2650.480028,1961.221122,-0.105799622876,-0.006541720122,0.000240276221,-0.000220267325,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144539_0092_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144539_0092_V.JPG,1,pillow_reencode_without_metadata
q_025,DJI_202510311435_011_新建面状航线1,DJI_20251031144721_0113_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311435_011_新建面状航线1/DJI_20251031144721_0113_V.JPG,5280,3956,3722.064381,3722.064381,2650.480028,1961.221122,-0.105799622876,-0.006541720122,0.000240276221,-0.000220267325,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144721_0113_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144721_0113_V.JPG,1,pillow_reencode_without_metadata
q_026,DJI_202510311435_011_新建面状航线1,DJI_20251031144854_0137_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311435_011_新建面状航线1/DJI_20251031144854_0137_V.JPG,5280,3956,3722.064381,3722.064381,2650.480028,1961.221122,-0.105799622876,-0.006541720122,0.000240276221,-0.000220267325,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144854_0137_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144854_0137_V.JPG,1,pillow_reencode_without_metadata
q_027,DJI_202510311435_011_新建面状航线1,DJI_20251031145237_0180_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311435_011_新建面状航线1/DJI_20251031145237_0180_V.JPG,5280,3956,3722.064381,3722.064381,2650.480028,1961.221122,-0.105799622876,-0.006541720122,0.000240276221,-0.000220267325,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145237_0180_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145237_0180_V.JPG,1,pillow_reencode_without_metadata
q_028,DJI_202510311435_011_新建面状航线1,DJI_20251031145538_0218_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311435_011_新建面状航线1/DJI_20251031145538_0218_V.JPG,5280,3956,3722.064381,3722.064381,2650.480028,1961.221122,-0.105799622876,-0.006541720122,0.000240276221,-0.000220267325,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145538_0218_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145538_0218_V.JPG,1,pillow_reencode_without_metadata
q_029,DJI_202510311435_011_新建面状航线1,DJI_20251031145828_0255_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311435_011_新建面状航线1/DJI_20251031145828_0255_V.JPG,5280,3956,3722.064381,3722.064381,2650.480028,1961.221122,-0.105799622876,-0.006541720122,0.000240276221,-0.000220267325,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145828_0255_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145828_0255_V.JPG,1,pillow_reencode_without_metadata
q_030,DJI_202510311435_011_新建面状航线1,DJI_20251031145833_0257_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,5280,3956,3722.064381,3722.064381,2650.480028,1961.221122,-0.105799622876,-0.006541720122,0.000240276221,-0.000220267325,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,1,pillow_reencode_without_metadata
q_031,DJI_202510311500_012_新建面状航线1,DJI_20251031150301_0002_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,5280,3956,3721.734609,3721.734609,2650.623027,1961.159352,-0.106304411800,-0.005251423738,0.000242281359,-0.000214042083,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,1,pillow_reencode_without_metadata
q_032,DJI_202510311500_012_新建面状航线1,DJI_20251031150305_0003_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150305_0003_V.JPG,5280,3956,3721.734609,3721.734609,2650.623027,1961.159352,-0.106304411800,-0.005251423738,0.000242281359,-0.000214042083,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150305_0003_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150305_0003_V.JPG,1,pillow_reencode_without_metadata
q_033,DJI_202510311500_012_新建面状航线1,DJI_20251031150408_0019_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150408_0019_V.JPG,5280,3956,3721.734609,3721.734609,2650.623027,1961.159352,-0.106304411800,-0.005251423738,0.000242281359,-0.000214042083,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/cameras.json,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150408_0019_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150408_0019_V.JPG,1,pillow_reencode_without_metadata
