dsm_id,candidate_tile_id,dsm_source_name,crs,tile_min_x,tile_min_y,tile_max_x,tile_max_y,expand_margin_m,request_min_x,request_min_y,request_max_x,request_max_y,raster_path,status,download_request_id
s200_x255380.764_y3365251.700,s200_x255380.764_y3365251.700,srtm,EPSG:32650,255280.76437190094,3365151.6998673794,255480.76437190094,3365351.6998673794,250.000,255030.764372,3364901.699867,255730.764372,3365601.699867,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255380.764_y3365251.700.tif,ready,srtm_s200_x255380.764_y3365251.700
s200_x254825.317_y3364045.530,s200_x254825.317_y3364045.530,srtm,EPSG:32650,254725.31714087684,3363945.5298480103,254925.31714087684,3364145.5298480103,250.000,254475.317141,3363695.529848,255175.317141,3364395.529848,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254825.317_y3364045.530.tif,ready,srtm_s200_x254825.317_y3364045.530
s200_x254852.800_y3365113.601,s200_x254852.800_y3365113.601,srtm,EPSG:32650,254752.80039608278,3365013.6009922293,254952.80039608278,3365213.6009922293,250.000,254502.800396,3364763.600992,255202.800396,3365463.600992,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254852.800_y3365113.601.tif,ready,srtm_s200_x254852.800_y3365113.601
s200_x253633.067_y3364528.442,s200_x253633.067_y3364528.442,srtm,EPSG:32650,253533.06710738334,3364428.4419510043,253733.06710738334,3364628.4419510043,250.000,253283.067107,3364178.441951,253983.067107,3364878.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253633.067_y3364528.442.tif,ready,srtm_s200_x253633.067_y3364528.442
s200_x254624.835_y3365575.528,s200_x254624.835_y3365575.528,srtm,EPSG:32650,254524.83531152448,3365475.5278006354,254724.83531152448,3365675.5278006354,250.000,254274.835312,3365225.527801,254974.835312,3365925.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254624.835_y3365575.528.tif,ready,srtm_s200_x254624.835_y3365575.528
s200_x255203.340_y3364333.631,s200_x255203.340_y3364333.631,srtm,EPSG:32650,255103.3403633765,3364233.6312788753,255303.3403633765,3364433.6312788753,250.000,254853.340363,3363983.631279,255553.340363,3364683.631279,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255203.340_y3364333.631.tif,ready,srtm_s200_x255203.340_y3364333.631
s200_x255230.764_y3365251.700,s200_x255230.764_y3365251.700,srtm,EPSG:32650,255130.76437190094,3365151.6998673794,255330.76437190094,3365351.6998673794,250.000,254880.764372,3364901.699867,255580.764372,3365601.699867,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255230.764_y3365251.700.tif,ready,srtm_s200_x255230.764_y3365251.700
s200_x253377.414_y3363622.341,s200_x253377.414_y3363622.341,srtm,EPSG:32650,253277.41371175498,3363522.340820132,253477.41371175498,3363722.340820132,250.000,253027.413712,3363272.340820,253727.413712,3363972.340820,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253377.414_y3363622.341.tif,ready,srtm_s200_x253377.414_y3363622.341
s200_x254839.058_y3364954.565,s200_x254839.058_y3364954.565,srtm,EPSG:32650,254739.0576404855,3364854.5652137767,254939.0576404855,3365054.5652137767,250.000,254489.057640,3364604.565214,255189.057640,3365304.565214,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254839.058_y3364954.565.tif,ready,srtm_s200_x254839.058_y3364954.565
s300_x253683.067_y3364578.442,s300_x253683.067_y3364578.442,srtm,EPSG:32650,253533.06710738334,3364428.4419510043,253833.06710738334,3364728.4419510043,250.000,253283.067107,3364178.441951,254083.067107,3364978.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253683.067_y3364578.442.tif,ready,srtm_s300_x253683.067_y3364578.442
s200_x255530.764_y3365251.700,s200_x255530.764_y3365251.700,srtm,EPSG:32650,255430.76437190094,3365151.6998673794,255630.76437190094,3365351.6998673794,250.000,255180.764372,3364901.699867,255880.764372,3365601.699867,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255530.764_y3365251.700.tif,ready,srtm_s200_x255530.764_y3365251.700
s200_x255353.340_y3364033.631,s200_x255353.340_y3364033.631,srtm,EPSG:32650,255253.3403633765,3363933.6312788753,255453.3403633765,3364133.6312788753,250.000,255003.340363,3363683.631279,255703.340363,3364383.631279,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255353.340_y3364033.631.tif,ready,srtm_s200_x255353.340_y3364033.631
