source_group,query_id,candidate_id,raw_rank,rerank_rank,match_count,inlier_count,inlier_ratio,geom_valid,is_truth_hit,truth_hit_source,pnp_status,is_best_pose_candidate,best_candidate_id,global_score,fused_score,candidate_scale_level_m,matcher_score,method
g03_siftgpu,q_003,cw_s300_x253983.721_y3364552.517,1,2,638,209,0.3275862068965517,1,1,rerank_field,ok,0,cw_s500_x254008.721_y3364502.517,0.7538789510726929,0.8739186938937007,300.0,0.3275862068965517,SIFTGPU
g03_siftgpu,q_003,cw_s200_x253933.721_y3364802.517,13,3,357,170,0.47619047619047616,1,0,,ok,0,cw_s500_x254008.721_y3364502.517,0.6229844093322754,0.48930600084026177,200.0,0.47619047619047616,SIFTGPU
g03_siftgpu,q_003,cw_s200_x253933.721_y3364502.517,6,4,396,168,0.42424242424242425,1,0,,ok,0,cw_s500_x254008.721_y3364502.517,0.6494545936584473,0.5274447104161938,200.0,0.42424242424242425,SIFTGPU
g03_siftgpu,q_003,cw_s200_x253933.721_y3364652.517,18,5,238,155,0.6512605042016807,1,1,rerank_field,ok,0,cw_s500_x254008.721_y3364502.517,0.6040879487991333,0.495380795529505,200.0,0.6512605042016807,SIFTGPU
g03_siftgpu,q_003,cw_s200_x254083.721_y3364652.517,8,6,258,91,0.35271317829457366,1,0,,ok,0,cw_s500_x254008.721_y3364502.517,0.6425302028656006,0.4198724591224253,200.0,0.35271317829457366,SIFTGPU
g03_siftgpu,q_003,cw_s300_x253983.721_y3364327.517,12,7,147,86,0.5850340136054422,1,0,,ok,0,cw_s500_x254008.721_y3364502.517,0.627357006072998,0.4650930405119449,300.0,0.5850340136054422,SIFTGPU
g03_siftgpu,q_003,cw_s200_x253933.721_y3364352.517,14,8,85,41,0.4823529411764706,1,0,,ok,0,cw_s500_x254008.721_y3364502.517,0.6210002899169922,0.3739131872174123,200.0,0.4823529411764706,SIFTGPU
g03_siftgpu,q_003,cw_s200_x253933.721_y3364952.517,19,9,48,12,0.25,0,0,,ok,0,cw_s500_x254008.721_y3364502.517,0.6037822961807251,0.05977658894165041,200.0,0.25,SIFTGPU
g03_siftgpu,q_003,cw_s300_x254208.721_y3365227.517,10,10,36,5,0.1388888888888889,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6399133801460266,0.16074998138565297,300.0,0.1388888888888889,SIFTGPU
g03_siftgpu,q_003,cw_s200_x254233.721_y3365102.517,20,11,28,5,0.17857142857142858,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6026409268379211,0.06946340437224198,200.0,0.17857142857142858,SIFTGPU
g03_siftgpu,q_003,cw_s200_x254833.721_y3365102.517,2,12,20,4,0.2,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6958667039871216,0.3194679857158963,200.0,0.2,SIFTGPU
g03_siftgpu,q_003,cw_s200_x254833.721_y3365252.517,4,13,20,4,0.2,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6684044599533081,0.24683481248379177,200.0,0.2,SIFTGPU
g03_siftgpu,q_003,cw_s300_x254883.721_y3365227.517,5,14,20,4,0.2,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6517970561981201,0.20291008983874043,300.0,0.2,SIFTGPU
g03_siftgpu,q_003,cw_s300_x254208.721_y3365002.517,7,15,40,4,0.1,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6434161067008972,0.16235934667760982,300.0,0.1,SIFTGPU
g03_siftgpu,q_003,cw_s200_x254683.721_y3365252.517,9,16,31,4,0.12903225806451613,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6424623131752014,0.1651740505892995,200.0,0.12903225806451613,SIFTGPU
g03_siftgpu,q_003,cw_s200_x254233.721_y3364952.517,11,17,24,4,0.16666666666666666,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6317125558853149,0.14366256528772675,200.0,0.16666666666666666,SIFTGPU
g03_siftgpu,q_003,cw_s200_x254233.721_y3365252.517,15,18,38,4,0.10526315789473684,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6200640201568604,0.10156564418755795,200.0,0.10526315789473684,SIFTGPU
g03_siftgpu,q_003,cw_s300_x254658.721_y3365227.517,16,19,25,4,0.16,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6155167818069458,0.09960183877111542,300.0,0.16,SIFTGPU
g03_siftgpu,q_003,cw_s500_x254758.721_y3364877.517,17,20,15,4,0.26666666666666666,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364502.517,0.6057528257369995,0.09338751757237589,500.0,0.26666666666666666,SIFTGPU
g03_siftgpu,q_004,cw_s500_x254383.721_y3364127.517,2,1,1317,347,0.26347760060744113,1,1,rerank_field,ok,1,cw_s500_x254383.721_y3364127.517,0.9056879281997681,0.7574241651429358,500.0,0.26347760060744113,SIFTGPU
g03_siftgpu,q_004,cw_s300_x254433.721_y3364102.517,1,2,914,328,0.3588621444201313,1,1,rerank_field,ok,0,cw_s500_x254383.721_y3364127.517,0.9262003898620605,0.8961356246091176,300.0,0.3588621444201313,SIFTGPU
g03_siftgpu,q_004,cw_s200_x254383.721_y3364052.517,16,3,558,314,0.5627240143369175,1,1,rerank_field,ok,0,cw_s500_x254383.721_y3364127.517,0.8590902090072632,0.5510573239905582,200.0,0.5627240143369175,SIFTGPU
g03_siftgpu,q_004,cw_s200_x254533.721_y3364052.517,10,4,349,127,0.3638968481375358,1,0,,ok,0,cw_s500_x254383.721_y3364127.517,0.8628557324409485,0.3526157066666772,200.0,0.3638968481375358,SIFTGPU
g03_siftgpu,q_004,cw_s300_x254433.721_y3364327.517,9,5,103,46,0.44660194174757284,1,0,,ok,0,cw_s500_x254383.721_y3364127.517,0.8645472526550293,0.3406507902463022,300.0,0.44660194174757284,SIFTGPU
g03_siftgpu,q_004,cw_s300_x254658.721_y3364327.517,3,6,52,9,0.17307692307692307,0,0,,ok,0,cw_s500_x254383.721_y3364127.517,0.9007884860038757,0.30460061866711546,300.0,0.17307692307692307,SIFTGPU
g03_siftgpu,q_004,cw_s300_x254658.721_y3364777.517,4,7,22,6,0.2727272727272727,0,0,,pnp_failed,0,cw_s500_x254383.721_y3364127.517,0.8966107964515686,0.31964676037186057,300.0,0.2727272727272727,SIFTGPU
g03_siftgpu,q_004,cw_s500_x254758.721_y3364877.517,8,8,21,5,0.23809523809523808,0,0,,pnp_failed,0,cw_s500_x254383.721_y3364127.517,0.8686605095863342,0.15235540557611982,500.0,0.23809523809523808,SIFTGPU
g03_siftgpu,q_004,cw_s300_x253983.721_y3364777.517,11,9,26,5,0.19230769230769232,0,0,,pnp_failed,0,cw_s500_x254383.721_y3364127.517,0.8622375726699829,0.09467418384054438,300.0,0.19230769230769232,SIFTGPU
g03_siftgpu,q_004,cw_s700_x254783.721_y3364902.517,12,10,24,5,0.20833333333333334,0,0,,pnp_failed,0,cw_s500_x254383.721_y3364127.517,0.8617432117462158,0.10661413914601672,700.0,0.20833333333333334,SIFTGPU
g03_siftgpu,q_004,cw_s300_x254658.721_y3364552.517,14,11,32,5,0.15625,0,0,,pnp_failed,0,cw_s500_x254383.721_y3364127.517,0.8605893850326538,0.08914602603907004,300.0,0.15625,SIFTGPU
g03_siftgpu,q_004,cw_s300_x254883.721_y3364777.517,20,12,30,5,0.16666666666666666,0,0,,pnp_failed,0,cw_s500_x254383.721_y3364127.517,0.8561997413635254,0.06430973653843242,300.0,0.16666666666666666,SIFTGPU
g03_siftgpu,q_004,cw_s500_x254008.721_y3364877.517,5,13,19,4,0.21052631578947367,0,0,,pnp_failed,0,cw_s500_x254383.721_y3364127.517,0.8831354379653931,0.22896636766489958,500.0,0.21052631578947367,SIFTGPU
g03_siftgpu,q_004,cw_s300_x254208.721_y3364777.517,6,14,23,4,0.17391304347826086,0,0,,pnp_failed,0,cw_s500_x254383.721_y3364127.517,0.8828353881835938,0.21960403351839825,300.0,0.17391304347826086,SIFTGPU
g03_siftgpu,q_004,cw_s200_x254683.721_y3364352.517,7,15,16,4,0.25,0,0,,pnp_failed,0,cw_s500_x254383.721_y3364127.517,0.8769986033439636,0.20214107944664583,200.0,0.25,SIFTGPU
