flight_id,flight_tag,query_id,rank,candidate_tile_id,is_intersection_truth_hit,match_count,inlier_count,inlier_ratio,fused_score,global_score,candidate_scale_level_m,query_path,tile_path,out_path
DJI_202510311347_009_新建面状航线1,009,q_003,1,s200_x254675.317_y3364045.530,0,28,4,0.142857,0.5800000000000001,0.8577292561531067,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254675.317_y3364045.530.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_003/rank01_s200_x254675.317_y3364045.530.png
DJI_202510311347_009_新建面状航线1,009,q_003,2,s300_x254725.317_y3364170.530,0,16,5,0.312500,0.46887123811328213,0.824874997138977,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x254725.317_y3364170.530.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_003/rank02_s300_x254725.317_y3364170.530.png
DJI_202510311347_009_新建面状航线1,009,q_003,3,s300_x254964.058_y3364554.565,0,13,4,0.307692,0.455817165373615,0.8261417150497437,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x254964.058_y3364554.565.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_003/rank03_s300_x254964.058_y3364554.565.png
DJI_202510311347_009_新建面状航线1,009,q_003,4,s300_x255267.051_y3364542.665,0,10,4,0.400000,0.44735002119216793,0.8220876455307007,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x255267.051_y3364542.665.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_003/rank04_s300_x255267.051_y3364542.665.png
DJI_202510311347_009_新建面状航线1,009,q_003,5,s200_x254675.317_y3364195.530,0,16,4,0.250000,0.44228834948054163,0.8244737982749939,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254675.317_y3364195.530.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_003/rank05_s200_x254675.317_y3364195.530.png
DJI_202510311347_009_新建面状航线1,009,q_003,6,s200_x254989.058_y3364654.565,0,18,5,0.277778,0.39867755322906995,0.8120648860931396,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254989.058_y3364654.565.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_003/rank06_s200_x254989.058_y3364654.565.png
DJI_202510311347_009_新建面状航线1,009,q_003,7,s300_x254739.058_y3365004.565,0,19,5,0.263158,0.3963291060023861,0.8133866786956787,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x254739.058_y3365004.565.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_003/rank07_s300_x254739.058_y3365004.565.png
DJI_202510311347_009_新建面状航线1,009,q_003,8,s300_x253141.241_y3363981.380,0,17,5,0.294118,0.3951443914949082,0.8096506595611572,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253141.241_y3363981.380.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_003/rank08_s300_x253141.241_y3363981.380.png
DJI_202510311347_009_新建面状航线1,009,q_003,9,s200_x254624.835_y3365275.528,0,10,4,0.400000,0.39320139567946766,0.8099990487098694,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254624.835_y3365275.528.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_003/rank09_s200_x254624.835_y3365275.528.png
DJI_202510311347_009_新建面状航线1,009,q_003,10,s200_x254989.058_y3364954.565,0,9,4,0.444444,0.37873170159202685,0.8057268857955933,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254989.058_y3364954.565.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_003/rank10_s200_x254989.058_y3364954.565.png
DJI_202510311347_009_新建面状航线1,009,q_004,1,s200_x254297.293_y3364057.454,0,19,5,0.263158,0.6096370053191051,0.8200238943099976,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135820_0137_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254297.293_y3364057.454.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_004/rank01_s200_x254297.293_y3364057.454.png
DJI_202510311347_009_新建面状航线1,009,q_004,2,s500_x254158.067_y3364678.442,1,14,4,0.285714,0.5628121761259275,0.8162845373153687,500.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135820_0137_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x254158.067_y3364678.442.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_004/rank02_s500_x254158.067_y3364678.442.png
DJI_202510311347_009_新建面状航线1,009,q_004,3,s300_x254766.545_y3365997.637,0,16,4,0.250000,0.5376323586754641,0.8137949705123901,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135820_0137_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x254766.545_y3365997.637.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_004/rank03_s300_x254766.545_y3365997.637.png
DJI_202510311347_009_新建面状航线1,009,q_004,4,s200_x254297.293_y3364357.454,0,7,4,0.571429,0.5211442951987111,0.8079586625099182,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135820_0137_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254297.293_y3364357.454.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_004/rank04_s200_x254297.293_y3364357.454.png
