query_id,flight_id,image_name,original_query_path,sanitized_query_path,has_metadata_removed,sanitization_method,downsample_target_gsd_m,estimated_query_gsd_m,downsample_scale,original_width_px,original_height_px,downsampled_width_px,downsampled_height_px,intrinsics_scale_x,intrinsics_scale_y
q_021,DJI_202510311413_010_新建面状航线1,DJI_20251031141624_0001_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0001_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0001_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099936603627,0.099936603627,5280,3956,528,395,0.100000000000,0.099848331648
q_022,DJI_202510311413_010_新建面状航线1,DJI_20251031141633_0005_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141633_0005_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311413_010_新建面状航线1/DJI_20251031141633_0005_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099928013373,0.099928013373,5280,3956,528,395,0.100000000000,0.099848331648
q_023,DJI_202510311413_010_新建面状航线1,DJI_20251031141642_0009_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141642_0009_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311413_010_新建面状航线1/DJI_20251031141642_0009_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099938482745,0.099938482745,5280,3956,528,395,0.100000000000,0.099848331648
q_024,DJI_202510311413_010_新建面状航线1,DJI_20251031141701_0019_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141701_0019_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311413_010_新建面状航线1/DJI_20251031141701_0019_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099939556527,0.099939556527,5280,3956,528,395,0.100000000000,0.099848331648
q_025,DJI_202510311413_010_新建面状航线1,DJI_20251031141907_0057_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141907_0057_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311413_010_新建面状航线1/DJI_20251031141907_0057_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099944925436,0.099944925436,5280,3956,528,395,0.100000000000,0.099848331648
q_026,DJI_202510311413_010_新建面状航线1,DJI_20251031141917_0061_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141917_0061_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311413_010_新建面状航线1/DJI_20251031141917_0061_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099941972536,0.099941972536,5280,3956,528,395,0.100000000000,0.099848331648
q_027,DJI_202510311413_010_新建面状航线1,DJI_20251031141930_0067_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141930_0067_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311413_010_新建面状航线1/DJI_20251031141930_0067_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099960763718,0.099960763718,5280,3956,528,395,0.100000000000,0.099848331648
q_028,DJI_202510311413_010_新建面状航线1,DJI_20251031141957_0083_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141957_0083_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311413_010_新建面状航线1/DJI_20251031141957_0083_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099934992955,0.099934992955,5280,3956,528,395,0.100000000000,0.099848331648
q_029,DJI_202510311413_010_新建面状航线1,DJI_20251031142154_0116_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142154_0116_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311413_010_新建面状航线1/DJI_20251031142154_0116_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099926939591,0.099926939591,5280,3956,528,395,0.100000000000,0.099848331648
q_030,DJI_202510311413_010_新建面状航线1,DJI_20251031142204_0120_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142204_0120_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311413_010_新建面状航线1/DJI_20251031142204_0120_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099935261400,0.099935261400,5280,3956,528,395,0.100000000000,0.099848331648
