download_request_id,dsm_source_name,crs,request_min_x,request_min_y,request_max_x,request_max_y,primary_candidate_tile_id,raster_path,status
srtm_s300_x254197.293_y3363957.454,srtm,EPSG:32650,253797.292809,3363557.454095,254597.292809,3364357.454095,s300_x254197.293_y3363957.454,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254197.293_y3363957.454.tif,ready
srtm_s500_x254811.579_y3363436.495,srtm,EPSG:32650,254311.578897,3362936.494895,255311.578897,3363936.494895,s500_x254811.579_y3363436.495,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x254811.579_y3363436.495.tif,ready
srtm_s300_x254739.058_y3365004.565,srtm,EPSG:32650,254339.057640,3364604.565214,255139.057640,3365404.565214,s300_x254739.058_y3365004.565,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254739.058_y3365004.565.tif,ready
srtm_s200_x253241.241_y3363931.380,srtm,EPSG:32650,252891.240806,3363581.379625,253591.240806,3364281.379625,s200_x253241.241_y3363931.380,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253241.241_y3363931.380.tif,ready
srtm_s200_x254825.317_y3364345.530,srtm,EPSG:32650,254475.317141,3363995.529848,255175.317141,3364695.529848,s200_x254825.317_y3364345.530,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254825.317_y3364345.530.tif,ready
srtm_s300_x254725.317_y3364395.530,srtm,EPSG:32650,254325.317141,3363995.529848,255125.317141,3364795.529848,s300_x254725.317_y3364395.530,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254725.317_y3364395.530.tif,ready
srtm_s300_x254950.317_y3364395.530,srtm,EPSG:32650,254550.317141,3363995.529848,255350.317141,3364795.529848,s300_x254950.317_y3364395.530,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254950.317_y3364395.530.tif,ready
srtm_s300_x255795.044_y3364530.791,srtm,EPSG:32650,255395.043737,3364130.791200,256195.043737,3364930.791200,s300_x255795.044_y3364530.791,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x255795.044_y3364530.791.tif,ready
srtm_s500_x255186.579_y3363436.495,srtm,EPSG:32650,254686.578897,3362936.494895,255686.578897,3363936.494895,s500_x255186.579_y3363436.495,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x255186.579_y3363436.495.tif,ready
srtm_s200_x253077.414_y3363322.341,srtm,EPSG:32650,252727.413712,3362972.340820,253427.413712,3363672.340820,s200_x253077.414_y3363322.341,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253077.414_y3363322.341.tif,ready
srtm_s200_x254661.579_y3363286.495,srtm,EPSG:32650,254311.578897,3362936.494895,255011.578897,3363636.494895,s200_x254661.579_y3363286.495,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254661.579_y3363286.495.tif,ready
srtm_s200_x254811.579_y3363436.495,srtm,EPSG:32650,254461.578897,3363086.494895,255161.578897,3363786.494895,s200_x254811.579_y3363436.495,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254811.579_y3363436.495.tif,ready
