query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,match_count,siftgpu_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,siftgpu_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_001,cw_s200_x254833.721_y3364052.517,11,0.8640314936637878,200.000,20,0.2,4,0.2,0.0,0,-1.0,0.48342674682389947,0.14831496312742848,0.11678748653279175,0.2634431906492348,0,0
q_001,cw_s200_x254983.721_y3365252.517,12,0.8615201711654663,200.000,20,0.2,4,0.2,6.103515625e-05,0,-1.0,0.4305026240356135,0.14831496312742848,0.11678531858602026,0.24227224076585757,0,0
q_001,cw_s300_x254208.721_y3364102.517,13,0.85735023021698,300.000,22,0.18181818181818182,4,0.18181818181818182,0.0,0,-1.0,0.3426244375720699,0.11075468025749528,0.11075873097307115,0.20350501361267065,0,0
q_001,cw_s200_x254083.721_y3364052.517,14,0.8563501834869385,200.000,17,0.23529411764705882,4,0.23529411764705882,0.0,0,-1.0,0.32154924871436075,0.22122610046318106,0.12849036497224936,0.20571391846909393,0,0
q_001,cw_s300_x255108.721_y3365002.517,15,0.8521398305892944,300.000,18,0.2222222222222222,4,0.2222222222222222,0.0,0,-1.0,0.23281941258783423,0.1942219755240134,0.12415596555022801,0.16762134436527049,0,0
q_001,cw_s300_x254883.721_y3364102.517,16,0.8518952131271362,300.000,19,0.21052631578947367,4,0.21052631578947367,0.0,0,-1.0,0.22766429427384932,0.1700603900521266,0.12027781869894577,0.1632324089289072,0,0
q_001,cw_s200_x255133.721_y3364052.517,17,0.8482683897018433,200.000,13,0.3076923076923077,4,0.3076923076923077,0.0,0,-1.0,0.15123187732225268,0.3707874078185711,0.15249626946344447,0.15199051260696778,0,0
q_001,cw_s300_x254883.721_y3364327.517,18,0.8456732034683228,300.000,20,0.2,4,0.2,6.103515625e-05,0,-1.0,0.09654039306521024,0.14831496312742848,0.11678531858602026,0.10868734837769625,0,0
q_001,cw_s200_x254833.721_y3364202.517,19,0.8421381115913391,200.000,17,0.23529411764705882,4,0.23529411764705882,7.62939453125e-05,0,-1.0,0.022041145481357917,0.22122610046318106,0.128487655038785,0.08590905121581416,0,0
q_001,cw_s200_x254233.721_y3364652.517,20,0.8410922288894653,200.000,39,0.1282051282051282,5,0.1282051282051282,0.7263863682746887,0,-1.0,0.0,0.0,0.06766964656838091,0.04060178794102855,0,0
q_002,cw_s200_x253933.721_y3364802.517,1,0.8600766062736511,200.000,325,0.4584615384615385,149,0.4584615384615385,2.1308786869049072,1,149048.29989054386,1.0,0.8925545514657263,0.6000680046429029,0.9100408027857417,1,0
q_002,cw_s500_x254008.721_y3364502.517,2,0.8338605761528015,500.000,282,0.49645390070921985,140,0.49645390070921985,2.015896797180176,1,140052.59403228082,0.63630349827757,1.0,0.6206374307410087,0.7769038577556332,1,0
q_002,cw_s300_x253983.721_y3365002.517,3,0.8303207755088806,300.000,220,0.29545454545454547,65,0.29545454545454547,1.8888310194015503,1,65030.6111689806,0.5871956392671032,0.4315576973170097,0.31309687969607153,0.5727363835244842,1,0
q_002,cw_s200_x254233.721_y3364052.517,4,0.8298798203468323,200.000,24,0.16666666666666666,4,0.16666666666666666,6.103515625e-05,0,-1.0,0.5810782428072218,0.06733524355300859,0.10662568622233136,0.2964067088562875,0,0
