query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y
q_031,3,s200_x254675.317_y3364045.530,0.676731611697,200.0,254675.31714087684,3364045.5298480103
q_031,4,s300_x254964.058_y3364554.565,0.613229197923,300.0,254964.0576404855,3364554.5652137767
q_031,5,s200_x254839.058_y3364954.565,0.282567447112,200.0,254839.0576404855,3364954.5652137767
q_031,6,s500_x253783.067_y3364678.442,0.565895919846,500.0,253783.06710738334,3364678.4419510043
q_031,7,s200_x253810.673_y3365746.519,0.290173286815,200.0,253810.6733898759,3365746.519046808
q_031,8,s200_x253783.067_y3364528.442,0.446053633869,200.0,253783.06710738334,3364528.4419510043
q_031,9,s200_x255016.545_y3366022.637,0.250277824626,200.0,255016.5454075462,3366022.637183411
q_031,10,s300_x254950.317_y3364170.530,0.596456011335,300.0,254950.31714087684,3364170.5298480103
q_031,11,s200_x254989.058_y3364654.565,0.358850258019,200.0,254989.0576404855,3364654.5652137767
q_031,12,s200_x254825.317_y3364045.530,0.345683015425,200.0,254825.31714087684,3364045.5298480103
q_031,13,s300_x255505.764_y3365151.700,0.312801362886,300.0,255505.76437190094,3365151.6998673794
q_031,14,s200_x254975.317_y3364345.530,0.267442112215,200.0,254975.31714087684,3364345.5298480103
q_031,15,s200_x254675.317_y3364195.530,0.305012394469,200.0,254675.31714087684,3364195.5298480103
q_031,16,s300_x254725.317_y3363945.530,0.236534207078,300.0,254725.31714087684,3363945.5298480103
q_031,17,s700_x253883.067_y3364778.442,0.0719419103658,700.0,253883.06710738334,3364778.4419510043
q_031,18,s300_x254725.317_y3364170.530,0.292298915179,300.0,254725.31714087684,3364170.5298480103
q_031,19,s300_x253683.067_y3364578.442,0.124093647924,300.0,253683.06710738334,3364578.4419510043
q_031,20,s200_x254474.835_y3365425.528,0.053085626371,200.0,254474.83531152448,3365425.5278006354
q_032,1,s200_x254702.800_y3365113.601,0.889677161302,200.0,254702.80039608278,3365113.6009922293
q_032,2,s300_x254752.800_y3365163.601,0.920704415876,300.0,254752.80039608278,3365163.6009922293
q_032,3,s500_x253783.067_y3364678.442,0.268075263903,500.0,253783.06710738334,3364678.4419510043
q_032,4,s200_x254474.835_y3365275.528,0.344515441797,200.0,254474.83531152448,3365275.5278006354
q_032,5,s200_x255353.340_y3364183.631,0.262867338781,200.0,255353.3403633765,3364183.6312788753
q_032,6,s300_x253393.902_y3365424.458,0.324690187494,300.0,253393.9018066581,3365424.4584696507
q_032,7,s300_x253908.067_y3364803.442,0.246582763936,300.0,253908.06710738334,3364803.4419510043
q_032,8,s300_x254197.293_y3364182.454,0.28494743493,300.0,254197.29280875245,3364182.454095203
q_032,9,s300_x253696.869_y3365412.480,0.204778636449,300.0,253696.86911584332,3365412.480292981
q_032,10,s200_x253418.902_y3365449.458,0.22028551094,200.0,253418.9018066581,3365449.4584696507
q_032,11,s200_x254147.293_y3364207.454,0.48484076215,200.0,254147.29280875245,3364207.454095203
q_032,12,s200_x255867.683_y3363412.726,0.390594505035,200.0,255867.68346681632,3363412.725988563
q_032,13,s200_x254311.063_y3364816.491,0.233235375179,200.0,254311.06292971745,3364816.490741796
q_032,14,s500_x253796.869_y3365287.480,0.102594305857,500.0,253796.86911584332,3365287.480292981
q_032,15,s300_x255519.480_y3365985.735,0.1553209471,300.0,255519.479752744,3365985.7347813593
q_032,16,s200_x255544.480_y3366010.735,0.362080416271,200.0,255544.479752744,3366010.7347813593
q_032,17,s200_x255717.683_y3363412.726,0.0289589400918,200.0,255717.68346681632,3363412.725988563
q_032,18,s300_x255253.340_y3364158.631,0.0855580492497,300.0,255253.3403633765,3364158.6312788753
q_032,19,s500_x254158.067_y3364678.442,0.305626020304,500.0,254158.06710738334,3364678.4419510043
q_032,20,s700_x253883.067_y3364778.442,0.121722393729,700.0,253883.06710738334,3364778.4419510043
q_033,1,s200_x254702.800_y3365113.601,0.619241146204,200.0,254702.80039608278,3365113.6009922293
q_033,2,s300_x254752.800_y3365163.601,0.702281005813,300.0,254752.80039608278,3365163.6009922293
q_033,3,s200_x254852.800_y3365113.601,0.787565396886,200.0,254852.80039608278,3365113.6009922293
q_033,4,s300_x253908.067_y3364578.442,0.349625351938,300.0,253908.06710738334,3364578.4419510043
q_033,5,s300_x254197.293_y3364182.454,0.279541367469,300.0,254197.29280875245,3364182.454095203
q_033,6,s200_x254338.610_y3366034.565,0.254051282069,200.0,254338.6099540508,3366034.565271766
q_033,7,s200_x255203.340_y3364183.631,0.235034629953,200.0,255203.3403633765,3364183.6312788753
q_033,8,s200_x253568.902_y3365449.458,0.266371114255,200.0,253568.9018066581,3365449.4584696507
q_033,9,s200_x255717.683_y3363562.726,0.531492943418,200.0,255717.68346681632,3363562.725988563
q_033,10,s200_x255717.683_y3363412.726,0.405490025752,200.0,255717.68346681632,3363412.725988563
q_033,11,s200_x255544.480_y3366010.735,0.405140644122,200.0,255544.479752744,3366010.7347813593
q_033,12,s200_x253418.902_y3365599.458,0.324412936654,200.0,253418.9018066581,3365599.4584696507
q_033,13,s200_x254147.293_y3364207.454,0.184540801707,200.0,254147.29280875245,3364207.454095203
q_033,14,s200_x253418.902_y3365449.458,0.630330519422,200.0,253418.9018066581,3365449.4584696507
q_033,15,s200_x255694.480_y3366010.735,0.250140154226,200.0,255694.479752744,3366010.7347813593
q_033,16,s500_x254158.067_y3364678.442,0.0690266093515,500.0,254158.06710738334,3364678.4419510043
q_033,17,s300_x253393.902_y3365424.458,0.315608281347,300.0,253393.9018066581,3365424.4584696507
q_033,18,s200_x253933.067_y3364528.442,0.0898732822995,200.0,253933.06710738334,3364528.4419510043
q_033,19,s300_x255519.480_y3365985.735,0.0941297414326,300.0,255519.479752744,3365985.7347813593
q_033,20,s300_x255767.683_y3363537.726,0.140565469198,300.0,255767.68346681632,3363537.725988563
q_034,1,s200_x254839.058_y3364954.565,0.579895428327,200.0,254839.0576404855,3364954.5652137767
q_034,2,s700_x254952.800_y3365363.601,0.421651423196,700.0,254952.80039608278,3365363.6009922293
q_034,3,s200_x254161.063_y3364666.491,0.400487678793,200.0,254161.06292971745,3364666.490741796
q_034,4,s200_x255016.545_y3366022.637,0.332436429719,200.0,255016.5454075462,3366022.637183411
q_034,5,s200_x255717.683_y3363412.726,0.289021342968,200.0,255717.68346681632,3363412.725988563
q_034,6,s500_x255394.480_y3365860.735,0.288670884473,500.0,255394.479752744,3365860.7347813593
q_034,7,s300_x255253.340_y3364158.631,0.349093762408,300.0,255253.3403633765,3364158.6312788753
q_034,8,s300_x254725.317_y3364170.530,0.389093338045,300.0,254725.31714087684,3364170.5298480103
q_034,9,s500_x255394.480_y3366235.735,0.280895528307,500.0,255394.479752744,3366235.7347813593
q_034,10,s300_x255767.683_y3363537.726,0.405787135888,300.0,255767.68346681632,3363537.725988563
q_034,11,s200_x255544.480_y3366010.735,0.510888240985,200.0,255544.479752744,3366010.7347813593
q_034,12,s200_x254852.800_y3365263.601,0.374568519841,200.0,254852.80039608278,3365263.6009922293
q_034,13,s200_x254147.293_y3364207.454,0.490923990611,200.0,254147.29280875245,3364207.454095203
q_034,14,s300_x255267.051_y3364542.665,0.160893438708,300.0,255267.05124207112,3364542.665366566
q_034,15,s300_x254449.835_y3365400.528,0.341522716105,300.0,254449.83531152448,3365400.5278006354
q_034,16,s200_x255203.340_y3364183.631,0.164204820919,200.0,255203.3403633765,3364183.6312788753
q_034,17,s300_x255294.480_y3365760.735,0.0962069647939,300.0,255294.479752744,3365760.7347813593
q_034,18,s500_x253783.067_y3364678.442,0.415176436294,500.0,253783.06710738334,3364678.4419510043
q_034,19,s200_x253810.673_y3365746.519,0.272846954688,200.0,253810.6733898759,3365746.519046808
q_034,20,s700_x253883.067_y3364778.442,0.20521601386,700.0,253883.06710738334,3364778.4419510043
q_035,1,s200_x254839.058_y3364954.565,0.748297159307,200.0,254839.0576404855,3364954.5652137767
q_035,2,s200_x253810.673_y3365746.519,0.478777860537,200.0,253810.6733898759,3365746.519046808
q_035,3,s200_x254161.063_y3364666.491,0.551194347836,200.0,254161.06292971745,3364666.490741796
q_035,4,s200_x255530.764_y3365251.700,0.2851601033,200.0,255530.76437190094,3365251.6998673794
q_035,5,s200_x254324.835_y3365125.528,0.341925677498,200.0,254324.83531152448,3365125.5278006354
q_035,6,s300_x254449.835_y3365400.528,0.280309806398,300.0,254449.83531152448,3365400.5278006354
q_035,7,s300_x253696.869_y3365412.480,0.322545698239,300.0,253696.86911584332,3365412.480292981
q_035,8,s200_x253783.067_y3364528.442,0.27414780369,200.0,253783.06710738334,3364528.4419510043
q_035,9,s200_x254311.063_y3364816.491,0.289723808433,200.0,254311.06292971745,3364816.490741796
q_035,10,s200_x255016.545_y3366022.637,0.363013551424,200.0,255016.5454075462,3366022.637183411
q_035,11,s200_x254297.293_y3364057.454,0.302547135575,200.0,254297.29280875245,3364057.454095203
q_035,12,s500_x253783.067_y3364678.442,0.651535031934,500.0,253783.06710738334,3364678.4419510043
q_035,13,s300_x253908.067_y3364803.442,0.0979056972018,300.0,253908.06710738334,3364803.4419510043
